state (level2),lga (level3),lgauid,lgacode (SSLL),lgaparentuid,ward (level 4),warduid
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab A U U Ward,bZEqmSBk5os
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Aba River Ward,a4XuFQDp11A
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Aba Town Hall Ward,mCP8fmKjKPx
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abala Ward,mTTLxQfruW0
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abayi 1 Ward,TKCcHSJbR0C
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abayi 2 Ward,X92ym2jAXfJ
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Abayi Amorji Ward,msriinClQ5m
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Abayi Mbasa Ward,G4YBEhcgsfa
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Absu-Umuayi Ward,z78ihxpNM7D
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Acha-Amachara Ward,PHWgBRUKu3S
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Achara Ward,g5jYtrQxZtB
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Achiudo Ward,Jl8tSDmFbzI
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afaraukwu Ward,M27C9oL5mB2
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afugiri Ward,uD0YFZ06sRd
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afugiri Ward 2,lWSmFHCPZlZ
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Agbaluozu Ward,iKBYHFBK37A
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Agboji Ward,VvC7Igb9jTK
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Agburuezeukwu Ward,PSvmbHTLKdP
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Ahiaba 5 Ward,wwIbo0PyuVN
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Ahiabaubi Umuchima Ward,V1jJRbFTjYL
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Ahiaukwu A Ward,FagXHp0aLoq
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Ahiaukwu B Ward,BE0T7aIkcb9
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ajatanigu Ward,KPX9MI8TJss
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Akanukwu Ward,LEFQKiLwr3z
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Akpa-Mbato Ward,Acvn1TP13Sz
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Akumaimo Ward,jefL2SxHOXG
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Aku-na Ekpu Ward I,TjXVW0YkIOc
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Akwete Ohandu Ward,LhoIgBniw8X
